pen_rate,inel_rate,scenario,markov_rho,n_houses,dt_hr,P_community_peak_kw,P_onpeak_peak_kw,CF_onpeak,P50_kw,P90_kw,P99_kw,CF,CF_ci_lo,CF_ci_hi,ramp_rate_kw_per_min,trough_kw,load_factor,E_annual_kwh,E_pv_kwh,E_ev_kwh,E_ev_grid_import_kwh,E_ev_grid_export_kwh,E_cost_usd,demand_charge_usd,total_bill_usd,E_carbon_kg,E_baseline_cost_usd,E_ev_cost_usd,E_batt_cost_usd,E_pv_credit_usd,decomp_err_pct,P_peak_building_kw,P_peak_ev_kw,P_peak_batt_kw,P_peak_pv_kw,demand_charge_lb_uniform_usd,demand_charge_lb_opf_usd,optimality_gap_pct,comm_free_oracle_gap_pct,active_set_rho_cert,lp_opf_status,lp_opf_g2v_day_kwh,lp_opf_v2g_day_kwh,lp_opf_peak_kw,lp_opf_peak_hour,L_community,L_per_house_max,L_n_elastic,L_p_baseline_kw,jain_fairness,SRE_ratio,SRE_ci_lo,SRE_ci_hi,MIT_ratio,MIT_ci_lo,MIT_ci_hi,VF_ratio,VF_ci_lo,VF_ci_hi,HYB_ratio,HYB_ci_lo,HYB_ci_hi,SRE_onpeak,MIT_onpeak,VF_onpeak
0.250000,0.100000,0,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,27126.580000,29051.290000,56177.880000,22153.040000,19599.540000,8777.070000,260.310000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,44,0.712100,0.339408,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.100000,1,0.400000,50,0.166670,178.545100,93.181200,0.487969,16.732000,140.710300,164.382200,0.751236,0.649904,0.794239,2.118720,0.000000,0.226793,354716.320000,257426.980000,52858.930000,52858.930000,0.000000,127740.740000,77423.810000,205164.540000,103025.170000,36014.530000,16842.010000,82379.940000,7495.740000,0.000000,33.420400,25.594500,119.530000,0.000000,18158.560000,5113.540000,1414.090000,13.150000,0.528000,ok,144.870000,0.000000,11.403000,22,13.084331,1.512657,44,0.712100,0.880898,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.100000,2,0.400000,50,0.166670,292.728200,88.621500,0.461438,17.561100,107.646100,285.325100,0.877962,0.822967,0.913189,5.240930,0.000000,0.139292,357185.920000,257426.980000,52934.660000,52934.660000,0.000000,128630.640000,128132.800000,256763.440000,106422.320000,35371.230000,18308.800000,82508.160000,7557.550000,0.000000,35.728200,7.000000,250.000000,0.000000,18284.980000,1689.300000,7484.980000,2.450000,0.704000,ok,145.010000,0.000000,3.767100,2,,1.512657,44,0.712100,0.878896,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.100000,3,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,26265.860000,29051.290000,55317.160000,22153.040000,19350.050000,8161.110000,265.040000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,44,0.712100,0.348394,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.100000,4,0.400000,50,0.166670,191.538400,81.622500,0.452159,12.898200,157.542900,178.146500,0.721934,0.633981,0.776183,1.563830,0.000000,0.215809,362101.360000,257426.980000,52806.010000,52806.010000,0.000000,129967.040000,83055.320000,213022.360000,104329.960000,35343.840000,19902.050000,82389.520000,7668.370000,0.000000,37.007300,35.000000,119.530000,0.000000,18536.610000,5076.750000,1535.990000,22.360000,0.202000,ok,144.860000,0.000000,11.320900,21,,1.512657,44,0.711800,0.880331,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.100000,5,0.400000,50,0.166670,234.073200,93.181200,0.487969,18.894900,121.546100,194.399000,0.737021,0.664806,0.796737,2.118720,0.000000,0.171504,351665.980000,257426.980000,52858.790000,52858.790000,0.000000,126625.610000,97421.770000,224047.380000,102181.100000,36877.800000,16436.680000,80739.770000,7428.630000,0.000000,36.621500,23.147500,174.303800,0.000000,18002.410000,9494.970000,926.040000,10.970000,0.527000,ok,144.820000,0.000000,21.173300,21,,1.512657,44,0.712100,0.880295,2.652109,2.344542,3.387539,0.855659,0.711686,0.965092,0.960995,0.798224,1.194304,0.981078,0.837035,1.225930,1.376667,1.057496,0.926614
0.250000,0.300000,0,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,27126.580000,29051.290000,56177.880000,22153.040000,19599.540000,8777.070000,260.310000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,38,0.712100,0.339408,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
0.250000,0.300000,1,0.400000,50,0.166670,177.284500,93.181200,0.482578,16.538600,139.778200,162.789000,0.754510,0.649513,0.798843,2.118720,0.000000,0.226723,352103.590000,257426.980000,52866.630000,52866.630000,0.000000,126811.530000,76791.670000,203603.200000,102276.840000,35980.120000,15890.910000,82378.580000,7438.090000,0.000000,33.420400,24.333800,119.530000,0.000000,18024.810000,5113.540000,1401.730000,12.350000,0.459000,ok,144.880000,0.000000,11.403000,22,11.300104,1.512657,38,0.712100,0.880572,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
0.250000,0.300000,2,0.400000,50,0.166670,292.728200,88.621500,0.456369,17.561100,107.646100,285.325100,0.883288,0.828023,0.917687,4.540930,0.000000,0.138199,354383.400000,257426.980000,52934.660000,52934.660000,0.000000,127632.220000,128132.800000,255765.020000,105471.240000,35371.230000,17248.720000,82508.160000,7495.890000,0.000000,35.728200,7.000000,250.000000,0.000000,18141.520000,1689.300000,7484.980000,2.450000,0.629000,ok,145.010000,0.000000,3.767100,12,,1.512657,38,0.712100,0.878569,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
0.250000,0.300000,3,0.400000,50,0.166670,85.476200,85.476200,0.335185,3.032200,24.639000,43.062400,0.331043,0.269573,0.351014,2.669940,0.000000,0.097229,72802.090000,257426.980000,52952.420000,52952.420000,0.000000,26265.860000,29051.290000,55317.160000,22153.040000,19350.050000,8161.110000,265.040000,1510.340000,0.000000,110.482000,21.000000,1.693500,47.700000,3726.870000,936.380000,3002.530000,32.570000,0.457000,ok,145.010000,0.000000,2.088100,1,,1.512657,38,0.712100,0.348394,2.668197,2.358946,3.404224,0.854206,0.707772,0.964759,0.956825,0.793624,1.195023,0.975827,0.830715,1.224930,1.361544,1.057429,0.936966
